Quarter,Barangay,Mayor_Total_Given_PHP,Share_of_LGU_Budget_%,Mayor_IEC_PHP,Mayor_IEC_%,Mayor_Enf_PHP,Mayor_Enf_%,Mayor_Inc_PHP,Mayor_Inc_%,Municipal_Inspectors_Deployed
1,Brgy Liangan East,24628.25,6.6%,5401.39,21.9%,10035.76,40.7%,9191.11,37.3%,0
1,Brgy Ezperanza,26363.91,7.0%,1674.28,6.4%,3777.01,14.3%,20912.63,79.3%,0
1,Brgy Poblacion,187500.00,50.0%,31412.11,16.8%,67063.41,35.8%,89024.49,47.5%,5
1,Brgy Binuni,24698.86,6.6%,1265.98,5.1%,11578.43,46.9%,11854.44,48.0%,0
1,Brgy Demologan,28532.29,7.6%,1886.87,6.6%,13063.72,45.8%,13581.69,47.6%,1
1,Brgy Mati,60473.02,16.1%,29085.57,48.1%,18791.99,31.1%,12595.46,20.8%,1
1,Brgy Babalaya,22803.68,6.1%,10372.91,45.5%,1936.43,8.5%,10494.34,46.0%,0
1,Brgy Liangan East,24902.53,6.6%,5362.92,21.5%,10250.39,41.2%,9289.23,37.3%,0
1,Brgy Ezperanza,25871.29,6.9%,1660.41,6.4%,3728.35,14.4%,20482.53,79.2%,0
1,Brgy Poblacion,187500.00,50.0%,30498.12,16.3%,67926.26,36.2%,89075.62,47.5%,5
1,Brgy Binuni,23929.50,6.4%,1233.19,5.2%,11341.05,47.4%,11355.27,47.5%,0
1,Brgy Demologan,28781.93,7.7%,1826.32,6.3%,13371.34,46.5%,13584.28,47.2%,1
1,Brgy Mati,60989.65,16.3%,29803.89,48.9%,19112.05,31.3%,12073.70,19.8%,1
1,Brgy Babalaya,23025.09,6.1%,10644.19,46.2%,1923.63,8.4%,10457.27,45.4%,0
1,Brgy Liangan East,24748.01,6.6%,5497.52,22.2%,10205.72,41.2%,9044.77,36.5%,0
1,Brgy Ezperanza,26156.14,7.0%,1694.16,6.5%,3830.67,14.6%,20631.30,78.9%,0
1,Brgy Poblacion,187500.02,50.0%,31354.44,16.7%,66410.82,35.4%,89734.76,47.9%,5
1,Brgy Binuni,24732.36,6.6%,1281.55,5.2%,11522.58,46.6%,11928.22,48.2%,0
1,Brgy Demologan,28277.32,7.5%,1909.93,6.8%,12942.99,45.8%,13424.40,47.5%,1
1,Brgy Mati,60756.42,16.2%,29578.61,48.7%,18683.18,30.8%,12494.63,20.6%,1
1,Brgy Babalaya,22829.76,6.1%,10505.12,46.0%,1981.93,8.7%,10342.71,45.3%,0
1,Brgy Liangan East,24632.10,6.6%,5723.31,23.2%,10126.47,41.1%,8782.32,35.7%,0
1,Brgy Ezperanza,25300.08,6.7%,1705.19,6.7%,3859.66,15.3%,19735.23,78.0%,0
1,Brgy Poblacion,187500.00,50.0%,30757.45,16.4%,65277.34,34.8%,91465.20,48.8%,5
1,Brgy Binuni,24715.71,6.6%,1287.35,5.2%,11523.32,46.6%,11905.03,48.2%,0
1,Brgy Demologan,27887.16,7.4%,1950.74,7.0%,13246.18,47.5%,12690.24,45.5%,1
1,Brgy Mati,62434.87,16.6%,31100.94,49.8%,18837.65,30.2%,12496.28,20.0%,1
1,Brgy Babalaya,22530.08,6.0%,10880.84,48.3%,2044.80,9.1%,9604.43,42.6%,0
2,Brgy Liangan East,221962.50,59.2%,14614.50,6.6%,14555.91,6.6%,192792.09,86.9%,1
2,Brgy Ezperanza,152874.72,40.8%,15617.68,10.2%,9207.12,6.0%,128049.92,83.8%,0
2,Brgy Poblacion,17.89,0.0%,6.31,35.2%,0.77,4.3%,10.82,60.4%,0
2,Brgy Binuni,23.98,0.0%,3.47,14.5%,10.88,45.4%,9.62,40.1%,0
2,Brgy Demologan,29.79,0.0%,2.70,9.1%,23.16,77.7%,3.94,13.2%,0
2,Brgy Mati,39.40,0.0%,2.19,5.6%,13.47,34.2%,23.74,60.2%,0
2,Brgy Babalaya,51.72,0.0%,15.00,29.0%,26.23,50.7%,10.48,20.3%,0
2,Brgy Liangan East,222272.59,59.3%,15025.95,6.8%,14990.08,6.7%,192256.56,86.5%,1
2,Brgy Ezperanza,152564.03,40.7%,15777.31,10.3%,9411.14,6.2%,127375.58,83.5%,0
2,Brgy Poblacion,18.07,0.0%,6.47,35.8%,0.79,4.4%,10.81,59.8%,0
2,Brgy Binuni,23.87,0.0%,3.43,14.4%,10.86,45.5%,9.58,40.1%,0
2,Brgy Demologan,29.99,0.0%,2.71,9.0%,23.28,77.6%,4.00,13.3%,0
2,Brgy Mati,39.19,0.0%,2.31,5.9%,13.54,34.6%,23.34,59.5%,0
2,Brgy Babalaya,52.28,0.0%,14.97,28.6%,26.64,51.0%,10.67,20.4%,0
2,Brgy Liangan East,221008.98,58.9%,15060.55,6.8%,14782.07,6.7%,191166.38,86.5%,1
2,Brgy Ezperanza,153826.91,41.0%,15890.37,10.3%,9420.55,6.1%,128515.98,83.5%,0
2,Brgy Poblacion,17.94,0.0%,6.35,35.4%,0.79,4.4%,10.80,60.2%,0
2,Brgy Binuni,24.31,0.0%,3.51,14.4%,10.99,45.2%,9.82,40.4%,0
2,Brgy Demologan,29.89,0.0%,2.75,9.2%,23.17,77.5%,3.97,13.3%,0
2,Brgy Mati,39.70,0.0%,2.26,5.7%,13.49,34.0%,23.95,60.3%,0
2,Brgy Babalaya,52.24,0.0%,15.22,29.1%,26.37,50.5%,10.65,20.4%,0
2,Brgy Liangan East,220738.94,58.9%,15272.36,6.9%,14996.06,6.8%,190470.53,86.3%,1
2,Brgy Ezperanza,154095.75,41.1%,15969.37,10.4%,9586.58,6.2%,128539.80,83.4%,0
2,Brgy Poblacion,18.00,0.0%,6.48,36.0%,0.80,4.5%,10.72,59.6%,0
2,Brgy Binuni,24.45,0.0%,3.53,14.4%,11.04,45.2%,9.87,40.4%,0
2,Brgy Demologan,29.92,0.0%,2.78,9.3%,23.18,77.5%,3.96,13.2%,0
2,Brgy Mati,40.03,0.0%,2.30,5.8%,13.58,33.9%,24.14,60.3%,0
2,Brgy Babalaya,52.94,0.0%,15.42,29.1%,26.58,50.2%,10.94,20.7%,0
3,Brgy Liangan East,212059.30,56.5%,14442.38,6.8%,19213.62,9.1%,178403.30,84.1%,1
3,Brgy Ezperanza,162768.72,43.4%,13362.55,8.2%,10648.59,6.5%,138757.58,85.2%,0
3,Brgy Poblacion,18.59,0.0%,7.42,39.9%,0.76,4.1%,10.41,56.0%,0
3,Brgy Binuni,21.80,0.0%,3.00,13.7%,10.47,48.0%,8.33,38.2%,0
3,Brgy Demologan,27.66,0.0%,2.20,7.9%,21.38,77.3%,4.09,14.8%,0
3,Brgy Mati,41.97,0.0%,2.51,6.0%,16.44,39.2%,23.01,54.8%,0
3,Brgy Babalaya,61.91,0.0%,15.73,25.4%,28.59,46.2%,17.59,28.4%,0
3,Brgy Liangan East,211224.09,56.3%,14357.81,6.8%,18669.94,8.8%,178196.33,84.4%,1
3,Brgy Ezperanza,163603.94,43.6%,13400.83,8.2%,10604.09,6.5%,139599.02,85.3%,0
3,Brgy Poblacion,18.42,0.0%,7.27,39.4%,0.75,4.1%,10.40,56.5%,0
3,Brgy Binuni,22.12,0.0%,3.05,13.8%,10.57,47.8%,8.50,38.4%,0
3,Brgy Demologan,27.49,0.0%,2.24,8.1%,21.20,77.1%,4.05,14.7%,0
3,Brgy Mati,42.31,0.0%,2.44,5.8%,16.25,38.4%,23.62,55.8%,0
3,Brgy Babalaya,61.63,0.0%,15.92,25.8%,28.30,45.9%,17.41,28.2%,0
3,Brgy Liangan East,213323.59,56.9%,14643.12,6.9%,19523.07,9.2%,179157.39,84.0%,1
3,Brgy Ezperanza,161502.53,43.1%,13449.65,8.3%,10650.00,6.6%,137402.88,85.1%,0
3,Brgy Poblacion,18.71,0.0%,7.62,40.7%,0.76,4.1%,10.32,55.2%,0
3,Brgy Binuni,21.83,0.0%,3.02,13.8%,10.48,48.0%,8.34,38.2%,0
3,Brgy Demologan,28.22,0.0%,2.19,7.8%,21.97,77.8%,4.06,14.4%,0
3,Brgy Mati,42.37,0.0%,2.58,6.1%,16.79,39.6%,23.01,54.3%,0
3,Brgy Babalaya,62.78,0.0%,15.77,25.1%,29.04,46.3%,17.96,28.6%,0
3,Brgy Liangan East,212325.44,56.6%,14689.88,6.9%,19402.48,9.1%,178233.08,83.9%,1
3,Brgy Ezperanza,162501.25,43.3%,13501.14,8.3%,10739.36,6.6%,138260.75,85.1%,0
3,Brgy Poblacion,18.66,0.0%,7.53,40.4%,0.77,4.1%,10.36,55.5%,0
3,Brgy Binuni,21.95,0.0%,3.03,13.8%,10.51,47.9%,8.41,38.3%,0
3,Brgy Demologan,27.90,0.0%,2.22,8.0%,21.60,77.4%,4.08,14.6%,0
3,Brgy Mati,42.26,0.0%,2.56,6.1%,16.57,39.2%,23.13,54.7%,0
