Quarter,Global_Compliance,Political_Capital,Total_Fines_Collected,Avg_City_Attitude
1,9.72%,1.0000,0,0.326
1,8.88%,1.0000,0,0.322
1,9.00%,1.0000,0,0.319
1,8.93%,1.0000,0,0.322
2,64.40%,1.0000,0,0.158
2,64.52%,1.0000,0,0.160
2,65.56%,1.0000,0,0.166
2,64.74%,1.0000,0,0.159
3,64.15%,1.0000,0,0.129
3,65.37%,1.0000,0,0.134
3,63.58%,1.0000,0,0.127
3,64.37%,1.0000,0,0.129
4,64.74%,1.0000,0,0.120
4,64.74%,1.0000,0,0.118
4,65.09%,1.0000,0,0.120
4,65.12%,1.0000,0,0.122
5,64.47%,1.0000,0,0.111
5,64.89%,1.0000,0,0.112
5,64.67%,1.0000,0,0.110
5,65.07%,1.0000,0,0.110
6,64.77%,1.0000,0,0.109
6,64.92%,1.0000,0,0.109
6,64.55%,1.0000,0,0.105
6,64.64%,1.0000,0,0.107
7,64.35%,1.0000,0,0.106
7,64.15%,1.0000,0,0.106
7,64.69%,1.0000,0,0.106
7,64.89%,1.0000,0,0.106
8,65.02%,1.0000,0,0.108
8,64.47%,1.0000,0,0.106
8,64.57%,1.0000,0,0.105
8,64.22%,1.0000,0,0.103
9,64.69%,1.0000,0,0.105
9,64.74%,1.0000,0,0.105
9,64.07%,1.0000,0,0.103
9,63.63%,1.0000,0,0.101
10,64.89%,1.0000,0,0.105
10,64.35%,1.0000,0,0.104
10,64.00%,1.0000,0,0.102
10,63.97%,1.0000,0,0.101
11,64.50%,1.0000,0,0.104
11,64.57%,1.0000,0,0.104
11,64.27%,1.0000,0,0.102
11,64.15%,1.0000,0,0.102
12,64.82%,1.0000,0,0.104
12,64.69%,1.0000,0,0.103
12,64.67%,1.0000,0,0.103
12,65.27%,1.0000,0,0.104
13,64.25%,1.0000,0,0.102
13,63.95%,1.0000,0,0.101
13,63.87%,1.0000,0,0.100
13,64.35%,1.0000,0,0.102
1,9.40%,1.0000,0,0.325
1,9.37%,1.0000,0,0.324
1,9.42%,1.0000,0,0.322
1,8.98%,1.0000,0,0.322
2,64.30%,1.0000,0,0.161
2,64.52%,1.0000,0,0.158
2,64.42%,1.0000,0,0.160
2,64.57%,1.0000,0,0.161
3,64.37%,1.0000,0,0.129
3,64.05%,1.0000,0,0.127
3,64.40%,1.0000,0,0.130
3,63.75%,1.0000,0,0.127
4,64.35%,1.0000,0,0.117
4,64.67%,1.0000,0,0.117
4,64.99%,1.0000,0,0.120
4,64.77%,1.0000,0,0.118
5,64.62%,1.0000,0,0.110
5,64.62%,1.0000,0,0.110
5,65.54%,1.0000,0,0.112
5,64.42%,1.0000,0,0.109
6,63.95%,1.0000,0,0.103
6,64.82%,1.0000,0,0.108
6,63.48%,1.0000,0,0.103
6,64.69%,1.0000,0,0.107
7,64.55%,1.0000,0,0.105
7,64.94%,1.0000,0,0.107
7,64.22%,1.0000,0,0.104
7,64.40%,1.0000,0,0.105
8,64.00%,1.0000,0,0.103
8,64.35%,1.0000,0,0.104
8,63.82%,1.0000,0,0.103
8,64.35%,1.0000,0,0.104
9,64.84%,1.0000,0,0.105
9,63.95%,1.0000,0,0.103
9,64.57%,1.0000,0,0.103
9,64.89%,1.0000,0,0.106
10,65.04%,1.0000,0,0.105
10,64.74%,1.0000,0,0.105
10,64.20%,1.0000,0,0.102
10,64.20%,1.0000,0,0.103
11,63.95%,1.0000,0,0.101
11,64.72%,1.0000,0,0.104
11,64.25%,1.0000,0,0.103
11,63.77%,1.0000,0,0.100
12,64.45%,1.0000,0,0.102
12,64.45%,1.0000,0,0.103
12,65.46%,1.0000,0,0.106
12,64.17%,1.0000,0,0.102
13,64.67%,1.0000,0,0.103
13,64.72%,1.0000,0,0.104
13,64.20%,1.0000,0,0.102
13,64.17%,1.0000,0,0.102
1,9.32%,1.0000,0,0.323
2,65.14%,1.0000,0,0.162
3,64.59%,1.0000,0,0.129
4,64.45%,1.0000,0,0.118
5,64.00%,1.0000,0,0.108
6,64.15%,1.0000,0,0.106
7,63.92%,1.0000,0,0.104
8,65.29%,1.0000,0,0.107
9,64.42%,1.0000,0,0.104
10,64.97%,1.0000,0,0.105
11,63.33%,1.0000,0,0.099
12,63.43%,1.0000,0,0.100
13,64.42%,1.0000,0,0.102
1,8.30%,1.0000,0,0.318
1,8.80%,1.0000,0,0.323
1,9.57%,1.0000,0,0.327
1,9.22%,1.0000,0,0.323
2,64.67%,1.0000,0,0.161
2,64.07%,1.0000,0,0.163
2,64.35%,1.0000,0,0.160
2,64.02%,1.0000,0,0.160
3,78.00%,1.0000,0,0.130
3,78.24%,1.0000,0,0.128
3,77.72%,1.0000,0,0.127
3,78.72%,1.0000,0,0.128
4,92.34%,1.0000,0,0.157
4,92.37%,1.0000,0,0.154
4,92.07%,1.0000,0,0.154
4,91.82%,1.0000,0,0.152
5,91.27%,1.0000,0,0.147
5,90.78%,1.0000,0,0.144
5,92.39%,1.0000,0,0.150
5,91.25%,1.0000,0,0.146
6,91.55%,1.0000,0,0.144
6,90.92%,1.0000,0,0.144
6,91.72%,1.0000,0,0.150
6,91.50%,1.0000,0,0.143
7,91.45%,1.0000,0,0.142
7,91.25%,1.0000,0,0.139
7,91.27%,1.0000,0,0.136
7,90.68%,1.0000,0,0.140
8,91.12%,1.0000,0,0.136
8,91.50%,1.0000,0,0.137
8,90.88%,1.0000,0,0.135
8,90.73%,1.0000,0,0.135
9,90.75%,1.0000,0,0.136
9,91.60%,1.0000,0,0.137
9,90.50%,1.0000,0,0.135
9,91.10%,1.0000,0,0.133
10,90.80%,1.0000,0,0.138
10,90.92%,1.0000,0,0.136
10,91.75%,1.0000,0,0.138
10,91.25%,1.0000,0,0.136
11,91.65%,1.0000,0,0.140
11,91.94%,1.0000,0,0.139
11,91.80%,1.0000,0,0.140
11,90.50%,1.0000,0,0.136
12,91.82%,1.0000,0,0.141
12,90.70%,1.0000,0,0.136
12,91.55%,1.0000,0,0.139
12,91.75%,1.0000,0,0.139
13,91.22%,1.0000,0,0.139
1,8.58%,1.0000,0,0.320
13,90.68%,1.0000,0,0.137
13,91.80%,1.0000,0,0.141
13,91.00%,1.0000,0,0.136
1,9.37%,1.0000,0,0.322
1,8.95%,1.0000,0,0.323
1,8.90%,1.0000,0,0.323
2,64.10%,1.0000,0,0.157
2,64.47%,1.0000,0,0.160
2,63.80%,1.0000,0,0.157
2,63.92%,1.0000,0,0.156
3,77.70%,1.0000,0,0.124
3,78.59%,1.0000,0,0.130
3,79.11%,1.0000,0,0.130
3,77.70%,1.0000,0,0.126
4,92.37%,1.0000,0,0.155
4,92.44%,1.0000,0,0.152
4,93.21%,1.0000,0,0.154
4,93.39%,1.0000,0,0.154
5,91.07%,1.0000,0,0.144
5,92.27%,1.0000,0,0.154
5,89.91%,1.0000,0,0.141
5,91.60%,1.0000,0,0.146
6,90.15%,1.0000,0,0.141
6,91.07%,1.0000,0,0.142
6,90.75%,1.0000,0,0.143
6,90.92%,1.0000,0,0.142
7,91.60%,1.0000,0,0.142
7,91.12%,1.0000,0,0.139
7,92.29%,1.0000,0,0.139
7,90.75%,1.0000,0,0.136
8,91.80%,1.0000,0,0.137
8,91.72%,1.0000,0,0.137
8,89.96%,1.0000,0,0.130
8,90.90%,1.0000,0,0.135
9,91.10%,1.0000,0,0.135
9,91.10%,1.0000,0,0.136
9,91.62%,1.0000,0,0.138
9,91.07%,1.0000,0,0.132
10,91.45%,1.0000,0,0.134
10,91.07%,1.0000,0,0.137
10,90.55%,1.0000,0,0.136
10,90.58%,1.0000,0,0.134
11,91.32%,1.0000,0,0.135
11,90.80%,1.0000,0,0.136
11,91.52%,1.0000,0,0.135
11,90.90%,1.0000,0,0.137
12,91.70%,1.0000,0,0.138
12,91.20%,1.0000,0,0.138
12,90.90%,1.0000,0,0.138
12,90.68%,1.0000,0,0.139
13,90.45%,1.0000,0,0.135
1,9.32%,1.0000,0,0.325
13,91.00%,1.0000,0,0.139
13,89.83%,1.0000,0,0.137
13,91.84%,1.0000,0,0.145
2,64.45%,1.0000,0,0.157
3,78.19%,1.0000,0,0.126
4,91.94%,1.0000,0,0.147
5,91.27%,1.0000,0,0.143
6,91.80%,1.0000,0,0.141
7,90.80%,1.0000,0,0.136
8,90.10%,1.0000,0,0.133
9,91.10%,1.0000,0,0.137
10,91.82%,1.0000,0,0.141
11,90.65%,1.0000,0,0.138
12,91.00%,1.0000,0,0.138
13,91.35%,1.0000,0,0.139
