Quarter,Barangay,Mayor_Total_Given_PHP,Share_of_LGU_Budget_%,Mayor_IEC_PHP,Mayor_IEC_%,Mayor_Enf_PHP,Mayor_Enf_%,Mayor_Inc_PHP,Mayor_Inc_%,Municipal_Inspectors_Deployed
1,Brgy Liangan East,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
1,Brgy Ezperanza,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
1,Brgy Poblacion,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
1,Brgy Binuni,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
1,Brgy Demologan,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
1,Brgy Mati,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
1,Brgy Babalaya,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
2,Brgy Liangan East,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
2,Brgy Ezperanza,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
2,Brgy Poblacion,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
2,Brgy Binuni,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
2,Brgy Demologan,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
2,Brgy Mati,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
2,Brgy Babalaya,53571.43,14.3%,0.00,0.0%,53571.43,100.0%,0.00,0.0%,4
