Quarter,Barangay,LGU Total,LGU Share %,LGU IEC,LGU IEC %,LGU ENF,LGU ENF %,LGU INC,LGU INC %,LGU Inspectors
1,Brgy Liangan East,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
1,Brgy Ezperanza,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
1,Brgy Poblacion,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
1,Brgy Binuni,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
1,Brgy Demologan,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
1,Brgy Mati,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
1,Brgy Babalaya,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Liangan East,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Ezperanza,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Poblacion,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Binuni,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Demologan,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Mati,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
2,Brgy Babalaya,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Liangan East,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Ezperanza,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Poblacion,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Binuni,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Demologan,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Mati,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
3,Brgy Babalaya,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Liangan East,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Ezperanza,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Poblacion,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Binuni,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Demologan,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Mati,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
4,Brgy Babalaya,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Liangan East,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Ezperanza,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Poblacion,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Binuni,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Demologan,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Mati,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
5,Brgy Babalaya,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Liangan East,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Ezperanza,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Poblacion,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Binuni,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Demologan,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Mati,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
6,Brgy Babalaya,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Liangan East,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Ezperanza,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Poblacion,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Binuni,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Demologan,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Mati,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
7,Brgy Babalaya,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Liangan East,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Ezperanza,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Poblacion,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Binuni,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Demologan,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Mati,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
8,Brgy Babalaya,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
9,Brgy Liangan East,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
9,Brgy Ezperanza,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
9,Brgy Poblacion,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
9,Brgy Binuni,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
9,Brgy Demologan,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
9,Brgy Mati,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
9,Brgy Babalaya,53571.43,14.3%,53571.43,100.0%,0.00,0.0%,0.00,0.0%,0
